Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,20:01:51.487,Quaker Bot Long Strafes,MG,0.279s,50,50,1,80,100,0.8,true
2,20:01:53.321,Quaker Bot Long Strafes,MG,1.397s,210,40,0.19,80,420,0.19,false
3,20:01:54.389,Quaker Bot Long Strafes,MG,0.629s,100,40,0.4,80,200,0.4,false
4,20:01:55.302,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
5,20:01:56.004,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
6,20:01:57.099,Quaker Bot Long Strafes,MG,0.698s,110,50,0.455,70,220,0.318,false
7,20:01:57.916,Quaker Bot Long Strafes,MG,0.418s,70,60,0.857,80,140,0.571,false
8,20:01:58.926,Quaker Bot Long Strafes,MG,0.557s,90,40,0.444,80,180,0.444,false
9,20:01:59.892,Quaker Bot Long Strafes,MG,0.629s,100,50,0.5,70,200,0.35,false
10,20:02:01.040,Quaker Bot Long Strafes,MG,0.489s,80,60,0.75,80,160,0.5,false
11,20:02:03.052,Quaker Bot Long Strafes,MG,1.558s,210,70,0.333,110,420,0.262,false
12,20:02:03.647,Quaker Bot Long Strafes,MG,0.137s,30,20,0.667,30,60,0.5,false
13,20:02:04.487,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
14,20:02:05.183,Quaker Bot Long Strafes,MG,0.279s,50,40,0.8,70,100,0.7,false
15,20:02:05.954,Quaker Bot Long Strafes,MG,0.28s,50,50,1,70,100,0.7,false
16,20:02:06.681,Quaker Bot Long Strafes,MG,0.277s,50,40,0.8,80,100,0.8,false
17,20:02:08.247,Quaker Bot Long Strafes,MG,1.103s,130,40,0.308,80,260,0.308,false
18,20:02:09.144,Quaker Bot Long Strafes,MG,0.349s,60,40,0.667,70,120,0.583,false
19,20:02:09.878,Quaker Bot Long Strafes,MG,0.208s,40,40,1,70,80,0.875,false
20,20:02:10.525,Quaker Bot Long Strafes,MG,0.208s,40,40,1,80,80,1,false
21,20:02:11.430,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
22,20:02:12.585,Quaker Bot Long Strafes,MG,0.875s,120,40,0.333,80,240,0.333,false
23,20:02:13.622,Quaker Bot Long Strafes,MG,0.628s,100,40,0.4,70,200,0.35,false
24,20:02:14.475,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,70,140,0.5,false
25,20:02:15.382,Quaker Bot Long Strafes,MG,0.487s,80,40,0.5,70,160,0.438,false
26,20:02:16.502,Quaker Bot Long Strafes,MG,0.766s,120,50,0.417,80,240,0.333,false
27,20:02:17.342,Quaker Bot Long Strafes,MG,0.416s,70,40,0.571,70,140,0.5,false
28,20:02:18.079,Quaker Bot Long Strafes,MG,0.348s,60,40,0.667,80,120,0.667,false
29,20:02:19.197,Quaker Bot Long Strafes,MG,0.628s,100,40,0.4,80,200,0.4,false
30,20:02:20.013,Quaker Bot Long Strafes,MG,0.419s,70,40,0.571,80,140,0.571,false
31,20:02:20.826,Quaker Bot Long Strafes,MG,0.418s,70,40,0.571,80,140,0.571,false
32,20:02:21.971,Quaker Bot Long Strafes,MG,0.627s,100,40,0.4,80,200,0.4,false
33,20:02:22.890,Quaker Bot Long Strafes,MG,0.489s,80,40,0.5,70,160,0.438,false
34,20:02:23.688,Quaker Bot Long Strafes,MG,0.417s,70,40,0.571,80,140,0.571,false
35,20:02:24.398,Quaker Bot Long Strafes,MG,0.346s,60,50,0.833,80,120,0.667,false
36,20:02:25.248,Quaker Bot Long Strafes,MG,0.42s,70,40,0.571,80,140,0.571,false
