Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,12:37:02.945,Quaker Bot Long Strafes,MG,0.694000s,110,50,0.454545,70.000000,220.000000,0.318182,0
2,12:37:04.250,Quaker Bot Long Strafes,MG,0.833000s,130,50,0.384615,80.000000,260.000000,0.307692,0
3,12:37:05.105,Quaker Bot Long Strafes,MG,0.486000s,80,60,0.750000,70.000000,160.000000,0.437500,0
4,12:37:06.216,Quaker Bot Long Strafes,MG,0.763000s,120,50,0.416667,80.000000,240.000000,0.333333,0
5,12:37:07.334,Quaker Bot Long Strafes,MG,0.624000s,100,40,0.400000,80.000000,200.000000,0.400000,0
6,12:37:08.152,Quaker Bot Long Strafes,MG,0.486000s,80,40,0.500000,80.000000,160.000000,0.500000,0
7,12:37:08.924,Quaker Bot Long Strafes,MG,0.346000s,60,40,0.666667,70.000000,120.000000,0.583333,0
8,12:37:10.014,Quaker Bot Long Strafes,MG,0.277000s,50,40,0.800000,80.000000,100.000000,0.800000,0
9,12:37:11.118,Quaker Bot Long Strafes,MG,0.486000s,80,40,0.500000,80.000000,160.000000,0.500000,0
10,12:37:12.202,Quaker Bot Long Strafes,MG,0.694000s,110,60,0.545455,80.000000,220.000000,0.363636,0
11,12:37:12.924,Quaker Bot Long Strafes,MG,0.347000s,60,40,0.666667,80.000000,120.000000,0.666667,0
12,12:37:13.952,Quaker Bot Long Strafes,MG,0.416000s,70,40,0.571429,80.000000,140.000000,0.571429,0
13,12:37:14.827,Quaker Bot Long Strafes,MG,0.347000s,60,60,1.000000,70.000000,120.000000,0.583333,0
14,12:37:16.368,Quaker Bot Long Strafes,MG,1.006000s,150,60,0.400000,90.000000,300.000000,0.300000,0
15,12:37:16.965,Quaker Bot Long Strafes,MG,0.277000s,50,30,0.600000,60.000000,100.000000,0.600000,0
16,12:37:17.736,Quaker Bot Long Strafes,MG,0.347000s,60,40,0.666667,70.000000,120.000000,0.583333,0
17,12:37:19.098,Quaker Bot Long Strafes,MG,0.487000s,80,50,0.625000,70.000000,160.000000,0.437500,0
18,12:37:20.147,Quaker Bot Long Strafes,MG,0.770000s,100,40,0.400000,80.000000,200.000000,0.400000,0
19,12:37:20.945,Quaker Bot Long Strafes,MG,0.555000s,90,40,0.444444,80.000000,180.000000,0.444444,0
20,12:37:21.820,Quaker Bot Long Strafes,MG,0.486000s,80,60,0.750000,80.000000,160.000000,0.500000,0
21,12:37:22.549,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,70.000000,80.000000,0.875000,0
22,12:37:24.028,Quaker Bot Long Strafes,MG,1.048000s,160,60,0.375000,80.000000,320.000000,0.250000,0
23,12:37:25.194,Quaker Bot Long Strafes,MG,0.624000s,100,60,0.600000,80.000000,200.000000,0.400000,0
24,12:37:26.736,Quaker Bot Long Strafes,MG,1.118000s,170,40,0.235294,80.000000,340.000000,0.235294,0
25,12:37:27.639,Quaker Bot Long Strafes,MG,0.417000s,70,60,0.857143,70.000000,140.000000,0.500000,0
26,12:37:28.833,Quaker Bot Long Strafes,MG,0.347000s,60,50,0.833333,80.000000,120.000000,0.666667,0
27,12:37:30.320,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,80.000000,80.000000,1.000000,0
28,12:37:31.223,Quaker Bot Long Strafes,MG,0.485000s,80,50,0.625000,70.000000,160.000000,0.437500,0
29,12:37:32.063,Quaker Bot Long Strafes,MG,0.346000s,60,50,0.833333,80.000000,120.000000,0.666667,0
30,12:37:33.202,Quaker Bot Long Strafes,MG,0.625000s,100,70,0.700000,80.000000,200.000000,0.400000,0
31,12:37:34.327,Quaker Bot Long Strafes,MG,0.208000s,40,40,1.000000,80.000000,80.000000,1.000000,0
32,12:37:35.181,Quaker Bot Long Strafes,MG,0.278000s,50,40,0.800000,80.000000,100.000000,0.800000,0
33,12:37:36.376,Quaker Bot Long Strafes,MG,0.833000s,130,50,0.384615,70.000000,260.000000,0.269231,0
34,12:37:37.160,Quaker Bot Long Strafes,MG,0.278000s,50,50,1.000000,70.000000,100.000000,0.700000,0
35,12:37:38.139,Quaker Bot Long Strafes,MG,0.416000s,70,40,0.571429,80.000000,140.000000,0.571429,0
36,12:37:39.514,Quaker Bot Long Strafes,MG,0.833000s,130,60,0.461538,70.000000,260.000000,0.269231,0
37,12:37:40.918,Quaker Bot Long Strafes,MG,0.556000s,90,50,0.555556,70.000000,180.000000,0.388889,0
38,12:37:41.994,Quaker Bot Long Strafes,MG,0.625000s,90,50,0.555556,70.000000,180.000000,0.388889,0
39,12:37:43.799,Quaker Bot Long Strafes,MG,1.305000s,140,40,0.285714,70.000000,280.000000,0.250000,0
