Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,19:17:47.528,Quaker Bot Long Strafes,MGV2,1.258s,190,70,0.368,110,380,0.289,false
2,19:17:48.862,Quaker Bot Long Strafes,MGV2,0.697s,110,70,0.636,110,220,0.5,false
3,19:17:50.762,Quaker Bot Long Strafes,MGV2,0.91s,140,110,0.786,110,280,0.393,false
4,19:17:51.987,Quaker Bot Long Strafes,MGV2,0.699s,110,70,0.636,110,220,0.5,false
5,19:17:55.678,Quaker Bot Long Strafes,MGV2,2.837s,270,110,0.407,110,540,0.204,false
6,19:17:58.450,Quaker Bot Long Strafes,MGV2,2.2s,180,90,0.5,110,360,0.306,false
7,19:18:01.845,Quaker Bot Long Strafes,MGV2,2.822s,230,80,0.348,120,460,0.261,false
8,19:18:03.092,Quaker Bot Long Strafes,MGV2,0.488s,80,60,0.75,120,160,0.75,false
9,19:18:04.744,Quaker Bot Long Strafes,MGV2,1.427s,150,110,0.733,130,300,0.433,false
10,19:18:06.415,Quaker Bot Long Strafes,MGV2,0.978s,150,60,0.4,100,300,0.333,false
11,19:18:07.744,Quaker Bot Long Strafes,MGV2,0.836s,130,70,0.538,120,260,0.462,false
12,19:18:11.038,Quaker Bot Long Strafes,MGV2,2.673s,200,80,0.4,110,400,0.275,false
13,19:18:12.333,Quaker Bot Long Strafes,MGV2,0.629s,100,60,0.6,120,200,0.6,false
14,19:18:14.218,Quaker Bot Long Strafes,MGV2,0.627s,100,60,0.6,120,200,0.6,false
15,19:18:18.278,Quaker Bot Long Strafes,MGV2,2.707s,250,100,0.4,110,500,0.22,false
16,19:18:19.613,Quaker Bot Long Strafes,MGV2,0.346s,60,60,1,110,120,0.917,false
17,19:18:23.143,Quaker Bot Long Strafes,MGV2,2.549s,230,90,0.391,120,460,0.261,false
18,19:18:25.376,Quaker Bot Long Strafes,MGV2,2.104s,150,70,0.467,110,300,0.367,false
19,19:18:29.238,Quaker Bot Long Strafes,MGV2,3.351s,230,90,0.391,100,460,0.217,false
20,19:18:30.697,Quaker Bot Long Strafes,MGV2,1.211s,180,90,0.5,110,360,0.306,false
21,19:18:33.997,Quaker Bot Long Strafes,MGV2,2.342s,200,100,0.5,120,400,0.3,false
22,19:18:35.557,Quaker Bot Long Strafes,MGV2,0.696s,110,90,0.818,110,220,0.5,false
23,19:18:37.124,Quaker Bot Long Strafes,MGV2,1.047s,160,70,0.438,110,320,0.344,false
24,19:18:38.359,Quaker Bot Long Strafes,MGV2,0.698s,110,100,0.909,120,220,0.545,false
25,19:18:39.632,Quaker Bot Long Strafes,MGV2,0.699s,110,60,0.545,120,220,0.545,false
26,19:18:41.697,Quaker Bot Long Strafes,MGV2,0.98s,150,70,0.467,120,300,0.4,false
27,19:18:42.968,Quaker Bot Long Strafes,MGV2,0.626s,100,100,1,100,200,0.5,false
28,19:18:44.277,Quaker Bot Long Strafes,MGV2,0.838s,130,80,0.615,110,260,0.423,false
29,19:18:47.567,Quaker Bot Long Strafes,MGV2,2.787s,220,90,0.409,110,440,0.25,false
30,19:18:50.836,Quaker Bot Long Strafes,MGV2,2.266s,190,90,0.474,120,380,0.316,false
31,19:18:54.429,Quaker Bot Long Strafes,MGV2,2.721s,190,80,0.421,100,380,0.263,false
32,19:18:56.217,Quaker Bot Long Strafes,MGV2,1.596s,160,80,0.5,110,320,0.344,false
33,19:18:57.651,Quaker Bot Long Strafes,MGV2,0.767s,120,110,0.917,110,240,0.458,false
34,19:18:59.067,Quaker Bot Long Strafes,MGV2,0.978s,150,80,0.533,110,300,0.367,false
35,19:19:00.650,Quaker Bot Long Strafes,MGV2,0.837s,130,100,0.769,120,260,0.462,false
36,19:19:03.206,Quaker Bot Long Strafes,MGV2,2.135s,170,60,0.353,110,340,0.324,false
37,19:19:04.919,Quaker Bot Long Strafes,MGV2,0.909s,140,70,0.5,110,280,0.393,false
38,19:19:06.421,Quaker Bot Long Strafes,MGV2,0.699s,110,60,0.545,120,220,0.545,false
39,19:19:08.169,Quaker Bot Long Strafes,MGV2,0.977s,150,60,0.4,120,300,0.4,false
40,19:19:09.155,Quaker Bot Long Strafes,MGV2,0.557s,90,60,0.667,120,180,0.667,false
41,19:19:13.191,Quaker Bot Long Strafes,MGV2,2.9s,190,100,0.526,120,380,0.316,false
42,19:19:15.094,Quaker Bot Long Strafes,MGV2,0.84s,130,70,0.538,120,260,0.462,false
43,19:19:18.039,Quaker Bot Long Strafes,MGV2,2.238s,180,100,0.556,110,360,0.306,false
44,19:19:20.975,Quaker Bot Long Strafes,MGV2,2.277s,190,90,0.474,110,380,0.289,false
45,19:19:22.276,Quaker Bot Long Strafes,MGV2,0.698s,110,110,1,110,220,0.5,false
46,19:19:23.966,Quaker Bot Long Strafes,MGV2,0.696s,110,110,1,110,220,0.5,false
47,19:19:26.677,Quaker Bot Long Strafes,MGV2,2.278s,180,110,0.611,110,360,0.306,false
48,19:19:28.312,Quaker Bot Long Strafes,MGV2,0.979s,150,110,0.733,110,300,0.367,false
49,19:19:32.001,Quaker Bot Long Strafes,MGV2,2.969s,290,110,0.379,110,580,0.19,false
50,19:19:35.166,Quaker Bot Long Strafes,MGV2,2.41s,210,80,0.381,120,420,0.286,false
51,19:19:38.765,Quaker Bot Long Strafes,MGV2,2.476s,220,100,0.455,110,440,0.25,false
52,19:19:42.018,Quaker Bot Long Strafes,MGV2,2.202s,180,80,0.444,110,360,0.306,false
53,19:19:43.671,Quaker Bot Long Strafes,MGV2,0.836s,130,90,0.692,110,260,0.423,false
54,19:19:45.264,Quaker Bot Long Strafes,MGV2,0.837s,130,110,0.846,110,260,0.423,false
55,19:19:48.362,Quaker Bot Long Strafes,MGV2,2.198s,180,110,0.611,110,360,0.306,false
56,19:19:52.648,Quaker Bot Long Strafes,MGV2,3.361s,180,90,0.5,110,360,0.306,false
57,19:19:55.507,Quaker Bot Long Strafes,MGV2,2.201s,180,80,0.444,110,360,0.306,false
58,19:19:57.451,Quaker Bot Long Strafes,MGV2,0.838s,130,80,0.615,120,260,0.462,false
59,19:20:01.950,Quaker Bot Long Strafes,MGV2,3.666s,230,80,0.348,110,460,0.239,false
60,19:20:03.880,Quaker Bot Long Strafes,MGV2,1.188s,180,100,0.556,110,360,0.306,false
61,19:20:06.034,Quaker Bot Long Strafes,MGV2,1.047s,160,60,0.375,120,320,0.375,false
62,19:20:08.990,Quaker Bot Long Strafes,MGV2,2.34s,200,100,0.5,110,400,0.275,false
63,19:20:12.480,Quaker Bot Long Strafes,MGV2,2.62s,240,80,0.333,110,480,0.229,false
64,19:20:14.179,Quaker Bot Long Strafes,MGV2,0.91s,140,70,0.5,110,280,0.393,false
65,19:20:15.633,Quaker Bot Long Strafes,MGV2,1.213s,130,70,0.538,110,260,0.423,false
66,19:20:19.061,Quaker Bot Long Strafes,MGV2,2.758s,260,100,0.385,110,520,0.212,false
67,19:20:21.710,Quaker Bot Long Strafes,MGV2,2.265s,180,100,0.556,110,360,0.306,false
68,19:20:23.302,Quaker Bot Long Strafes,MGV2,0.908s,140,70,0.5,110,280,0.393,false
69,19:20:24.862,Quaker Bot Long Strafes,MGV2,0.909s,140,60,0.429,120,280,0.429,false
70,19:20:26.121,Quaker Bot Long Strafes,MGV2,0.837s,130,90,0.692,120,260,0.462,false
71,19:20:27.606,Quaker Bot Long Strafes,MGV2,1.05s,160,70,0.438,110,320,0.344,false
72,19:20:30.339,Quaker Bot Long Strafes,MGV2,2.134s,170,80,0.471,110,340,0.324,false
73,19:20:33.409,Quaker Bot Long Strafes,MGV2,2.46s,200,110,0.55,110,400,0.275,false
74,19:20:34.833,Quaker Bot Long Strafes,MGV2,0.7s,110,110,1,110,220,0.5,false
75,19:20:38.442,Quaker Bot Long Strafes,MGV2,2.13s,170,110,0.647,110,340,0.324,false
76,19:20:39.837,Quaker Bot Long Strafes,MGV2,0.696s,110,100,0.909,120,220,0.545,false
77,19:20:41.667,Quaker Bot Long Strafes,MGV2,0.837s,130,80,0.615,130,260,0.5,false
78,19:20:42.914,Quaker Bot Long Strafes,MGV2,0.629s,100,70,0.7,100,200,0.5,false
79,19:20:44.357,Quaker Bot Long Strafes,MGV2,1.164s,110,60,0.545,120,220,0.545,false
80,19:20:45.837,Quaker Bot Long Strafes,MGV2,0.839s,130,70,0.538,120,260,0.462,false
81,19:20:47.395,Quaker Bot Long Strafes,MGV2,0.629s,100,80,0.8,110,200,0.55,false
82,19:20:49.223,Quaker Bot Long Strafes,MGV2,1.289s,160,90,0.562,110,320,0.344,false
83,19:20:50.478,Quaker Bot Long Strafes,MGV2,0.626s,100,60,0.6,110,200,0.55,false
84,19:20:52.048,Quaker Bot Long Strafes,MGV2,1.049s,160,60,0.375,120,320,0.375,false
85,19:20:55.206,Quaker Bot Long Strafes,MGV2,2.47s,180,60,0.333,120,360,0.333,false
86,19:20:57.362,Quaker Bot Long Strafes,MGV2,0.769s,120,60,0.5,120,240,0.5,false
87,19:20:58.783,Quaker Bot Long Strafes,MGV2,0.769s,120,90,0.75,110,240,0.458,false
88,19:21:02.709,Quaker Bot Long Strafes,MGV2,3.078s,190,80,0.421,120,380,0.316,false
89,19:21:04.185,Quaker Bot Long Strafes,MGV2,0.702s,110,80,0.727,110,220,0.5,false
90,19:21:05.361,Quaker Bot Long Strafes,MGV2,0.418s,70,70,1,110,140,0.786,false
91,19:21:07.230,Quaker Bot Long Strafes,MGV2,0.906s,140,70,0.5,110,280,0.393,false
92,19:21:09.946,Quaker Bot Long Strafes,MGV2,2.224s,180,90,0.5,110,360,0.306,false
93,19:21:11.196,Quaker Bot Long Strafes,MGV2,0.697s,110,80,0.727,110,220,0.5,false
94,19:21:14.244,Quaker Bot Long Strafes,MGV2,2.42s,190,120,0.632,120,380,0.316,false
95,19:21:15.703,Quaker Bot Long Strafes,MGV2,0.768s,120,100,0.833,100,240,0.417,false
96,19:21:17.344,Quaker Bot Long Strafes,MGV2,0.838s,130,90,0.692,120,260,0.462,false
97,19:21:18.708,Quaker Bot Long Strafes,MGV2,0.558s,90,60,0.667,120,180,0.667,false
98,19:21:20.415,Quaker Bot Long Strafes,MGV2,0.907s,140,90,0.643,110,280,0.393,false
99,19:21:22.203,Quaker Bot Long Strafes,MGV2,0.839s,130,80,0.615,120,260,0.462,false
100,19:21:25.679,Quaker Bot Long Strafes,MGV2,3.097s,210,110,0.524,110,420,0.262,false
101,19:21:27.116,Quaker Bot Long Strafes,MGV2,0.769s,120,70,0.583,110,240,0.458,false
102,19:21:28.953,Quaker Bot Long Strafes,MGV2,0.769s,120,80,0.667,110,240,0.458,false
103,19:21:30.341,Quaker Bot Long Strafes,MGV2,0.766s,120,110,0.917,120,240,0.5,false
104,19:21:31.798,Quaker Bot Long Strafes,MGV2,0.839s,130,60,0.462,120,260,0.462,false
105,19:21:33.017,Quaker Bot Long Strafes,MGV2,0.628s,100,70,0.7,120,200,0.6,false
106,19:21:34.864,Quaker Bot Long Strafes,MGV2,0.979s,150,100,0.667,120,300,0.4,false
107,19:21:36.230,Quaker Bot Long Strafes,MGV2,0.836s,130,90,0.692,110,260,0.423,false
108,19:21:37.653,Quaker Bot Long Strafes,MGV2,0.488s,80,60,0.75,120,160,0.75,false
109,19:21:38.850,Quaker Bot Long Strafes,MGV2,0.417s,70,70,1,120,140,0.857,false
110,19:21:39.920,Quaker Bot Long Strafes,MGV2,0.487s,80,80,1,120,160,0.75,false
111,19:21:41.328,Quaker Bot Long Strafes,MGV2,0.768s,120,60,0.5,120,240,0.5,false
112,19:21:45.649,Quaker Bot Long Strafes,MGV2,3.391s,300,70,0.233,120,600,0.2,false
113,19:21:46.739,Quaker Bot Long Strafes,MGV2,0.629s,100,60,0.6,110,200,0.55,false
114,19:21:48.273,Quaker Bot Long Strafes,MGV2,0.836s,130,80,0.615,110,260,0.423,false
115,19:21:49.816,Quaker Bot Long Strafes,MGV2,1.046s,160,80,0.5,130,320,0.406,false
116,19:21:52.511,Quaker Bot Long Strafes,MGV2,2.27s,190,80,0.421,160,380,0.421,false
117,19:21:55.627,Quaker Bot Long Strafes,MGV2,2.373s,180,70,0.389,90,360,0.25,false
118,19:21:56.684,Quaker Bot Long Strafes,MGV2,0.559s,90,40,0.444,80,180,0.444,false
119,19:21:59.680,Quaker Bot Long Strafes,MGV2,2.796s,170,110,0.647,120,340,0.353,false
120,19:22:02.325,Quaker Bot Long Strafes,MGV2,0.91s,140,80,0.571,110,280,0.393,false
121,19:22:05.830,Quaker Bot Long Strafes,MGV2,2.76s,200,90,0.45,110,400,0.275,false
122,19:22:09.155,Quaker Bot Long Strafes,MGV2,2.327s,180,90,0.5,110,360,0.306,false
123,19:22:13.723,Quaker Bot Long Strafes,MGV2,3.935s,370,180,0.486,180,740,0.243,false
124,19:22:14.729,Quaker Bot Long Strafes,MGV2,0.28s,50,40,0.8,40,100,0.4,false
125,19:22:17.726,Quaker Bot Long Strafes,MGV2,2.685s,220,110,0.5,110,440,0.25,false
126,19:22:19.147,Quaker Bot Long Strafes,MGV2,0.698s,110,60,0.545,120,220,0.545,false
127,19:22:22.914,Quaker Bot Long Strafes,MGV2,3.083s,200,80,0.4,120,400,0.3,false
128,19:22:24.705,Quaker Bot Long Strafes,MGV2,0.836s,130,70,0.538,120,260,0.462,false
129,19:22:25.758,Quaker Bot Long Strafes,MGV2,0.558s,90,60,0.667,120,180,0.667,false
130,19:22:27.029,Quaker Bot Long Strafes,MGV2,0.698s,110,60,0.545,120,220,0.545,false
131,19:22:30.536,Quaker Bot Long Strafes,MGV2,2.622s,240,90,0.375,120,480,0.25,false
132,19:22:33.526,Quaker Bot Long Strafes,MGV2,2.339s,200,110,0.55,110,400,0.275,false
133,19:22:34.791,Quaker Bot Long Strafes,MGV2,1.051s,160,120,0.75,130,320,0.406,false
134,19:22:36.117,Quaker Bot Long Strafes,MGV2,0.558s,90,90,1,90,180,0.5,false
135,19:22:39.239,Quaker Bot Long Strafes,MGV2,2.472s,190,110,0.579,110,380,0.289,false
136,19:22:41.917,Quaker Bot Long Strafes,MGV2,1.978s,170,70,0.412,120,340,0.353,false
137,19:22:44.734,Quaker Bot Long Strafes,MGV2,2.755s,190,60,0.316,120,380,0.316,false
138,19:22:46.685,Quaker Bot Long Strafes,MGV2,0.838s,130,60,0.462,120,260,0.462,false
139,19:22:48.380,Quaker Bot Long Strafes,MGV2,0.905s,140,90,0.643,110,280,0.393,false
140,19:22:51.383,Quaker Bot Long Strafes,MGV2,2.131s,170,110,0.647,110,340,0.324,false
141,19:22:53.089,Quaker Bot Long Strafes,MGV2,1.05s,160,110,0.688,110,320,0.344,false
142,19:22:56.771,Quaker Bot Long Strafes,MGV2,2.97s,290,110,0.379,110,580,0.19,false
143,19:22:58.187,Quaker Bot Long Strafes,MGV2,0.488s,80,60,0.75,110,160,0.688,false
144,19:23:01.312,Quaker Bot Long Strafes,MGV2,2.33s,190,60,0.316,120,380,0.316,false
145,19:23:06.037,Quaker Bot Long Strafes,MGV2,3.371s,310,110,0.355,120,620,0.194,false
146,19:23:07.860,Quaker Bot Long Strafes,MGV2,0.63s,100,60,0.6,120,200,0.6,false
147,19:23:09.086,Quaker Bot Long Strafes,MGV2,0.349s,60,50,0.833,100,120,0.833,false
148,19:23:10.352,Quaker Bot Long Strafes,MGV2,0.416s,70,60,0.857,120,140,0.857,false
149,19:23:11.760,Quaker Bot Long Strafes,MGV2,0.559s,90,60,0.667,120,180,0.667,false
150,19:23:12.752,Quaker Bot Long Strafes,MGV2,0.347s,60,60,1,120,120,1,false
151,19:23:14.771,Quaker Bot Long Strafes,MGV2,0.627s,100,100,1,110,200,0.55,false
152,19:23:16.576,Quaker Bot Long Strafes,MGV2,0.909s,140,100,0.714,120,280,0.429,false
153,19:23:17.864,Quaker Bot Long Strafes,MGV2,0.699s,110,60,0.545,110,220,0.5,false
154,19:23:19.301,Quaker Bot Long Strafes,MGV2,0.91s,140,60,0.429,120,280,0.429,false
155,19:23:22.187,Quaker Bot Long Strafes,MGV2,2.201s,180,130,0.722,160,360,0.444,false
156,19:23:25.168,Quaker Bot Long Strafes,MGV2,2.408s,210,90,0.429,110,420,0.262,false
157,19:23:26.559,Quaker Bot Long Strafes,MGV2,1.289s,130,40,0.308,80,260,0.308,false
158,19:23:31.382,Quaker Bot Long Strafes,MGV2,3.696s,210,70,0.333,120,420,0.286,false
159,19:23:33.179,Quaker Bot Long Strafes,MGV2,0.84s,130,60,0.462,120,260,0.462,false
160,19:23:36.648,Quaker Bot Long Strafes,MGV2,2.559s,230,80,0.348,120,460,0.261,false
161,19:23:38.368,Quaker Bot Long Strafes,MGV2,0.979s,150,90,0.6,100,300,0.333,false
162,19:23:39.965,Quaker Bot Long Strafes,MGV2,0.978s,150,110,0.733,110,300,0.367,false
163,19:23:41.526,Quaker Bot Long Strafes,MGV2,0.837s,130,70,0.538,110,260,0.423,false
164,19:23:42.754,Quaker Bot Long Strafes,MGV2,0.698s,110,60,0.545,110,220,0.5,false
165,19:23:44.354,Quaker Bot Long Strafes,MGV2,0.979s,150,80,0.533,110,300,0.367,false
166,19:23:46.098,Quaker Bot Long Strafes,MGV2,0.977s,150,60,0.4,120,300,0.4,false
167,19:23:47.814,Quaker Bot Long Strafes,MGV2,1.048s,160,60,0.375,120,320,0.375,false
168,19:23:50.831,Quaker Bot Long Strafes,MGV2,2.314s,180,90,0.5,130,360,0.361,false
169,19:23:52.437,Quaker Bot Long Strafes,MGV2,1.048s,160,70,0.438,90,320,0.281,false
170,19:23:55.890,Quaker Bot Long Strafes,MGV2,3.056s,220,70,0.318,110,440,0.25,false
171,19:23:59.374,Quaker Bot Long Strafes,MGV2,2.342s,200,120,0.6,130,400,0.325,false
172,19:24:00.731,Quaker Bot Long Strafes,MGV2,0.627s,100,100,1,110,200,0.55,false
173,19:24:02.378,Quaker Bot Long Strafes,MGV2,1.047s,160,100,0.625,100,320,0.312,false
174,19:24:03.718,Quaker Bot Long Strafes,MGV2,0.697s,110,90,0.818,110,220,0.5,false
175,19:24:05.207,Quaker Bot Long Strafes,MGV2,0.838s,130,90,0.692,110,260,0.423,false
176,19:24:06.906,Quaker Bot Long Strafes,MGV2,0.906s,140,60,0.429,110,280,0.393,false
177,19:24:08.353,Quaker Bot Long Strafes,MGV2,0.767s,120,80,0.667,110,240,0.458,false
178,19:24:11.873,Quaker Bot Long Strafes,MGV2,2.831s,270,60,0.222,110,540,0.204,false
179,19:24:15.567,Quaker Bot Long Strafes,MGV2,2.724s,210,90,0.429,110,420,0.262,false
180,19:24:18.683,Quaker Bot Long Strafes,MGV2,2.943s,200,80,0.4,110,400,0.275,false
181,19:24:22.633,Quaker Bot Long Strafes,MGV2,2.906s,230,80,0.348,120,460,0.261,false
182,19:24:24.505,Quaker Bot Long Strafes,MGV2,1.25s,170,70,0.412,110,340,0.324,false
183,19:24:26.069,Quaker Bot Long Strafes,MGV2,0.906s,140,60,0.429,110,280,0.393,false
184,19:24:28.963,Quaker Bot Long Strafes,MGV2,2.339s,200,70,0.35,110,400,0.275,false
185,19:24:30.392,Quaker Bot Long Strafes,MGV2,0.486s,80,60,0.75,120,160,0.75,false
186,19:24:32.383,Quaker Bot Long Strafes,MGV2,0.768s,120,80,0.667,120,240,0.5,false
187,19:24:36.405,Quaker Bot Long Strafes,MGV2,3.5s,230,70,0.304,110,460,0.239,false
188,19:24:37.770,Quaker Bot Long Strafes,MGV2,0.767s,120,80,0.667,120,240,0.5,false
189,19:24:40.975,Quaker Bot Long Strafes,MGV2,2.765s,230,100,0.435,110,460,0.239,false
190,19:24:42.843,Quaker Bot Long Strafes,MGV2,1.046s,160,110,0.688,110,320,0.344,false
191,19:24:44.326,Quaker Bot Long Strafes,MGV2,0.909s,140,110,0.786,110,280,0.393,false
192,19:24:47.731,Quaker Bot Long Strafes,MGV2,2.785s,200,110,0.55,110,400,0.275,false
193,19:24:51.147,Quaker Bot Long Strafes,MGV2,2.828s,270,110,0.407,110,540,0.204,false
194,19:24:52.855,Quaker Bot Long Strafes,MGV2,0.838s,130,70,0.538,120,260,0.462,false
195,19:24:54.195,Quaker Bot Long Strafes,MGV2,0.909s,140,60,0.429,120,280,0.429,false
196,19:24:57.725,Quaker Bot Long Strafes,MGV2,2.978s,200,90,0.45,120,400,0.3,false
197,19:24:58.762,Quaker Bot Long Strafes,MGV2,0.685s,60,60,1,120,120,1,false
198,19:25:00.005,Quaker Bot Long Strafes,MGV2,0.42s,70,60,0.857,110,140,0.786,false
199,19:25:03.472,Quaker Bot Long Strafes,MGV2,2.99s,260,110,0.423,110,520,0.212,false
200,19:25:05.056,Quaker Bot Long Strafes,MGV2,0.695s,110,80,0.727,120,220,0.545,false
201,19:25:08.362,Quaker Bot Long Strafes,MGV2,2.336s,200,80,0.4,120,400,0.3,false
202,19:25:09.710,Quaker Bot Long Strafes,MGV2,0.838s,130,60,0.462,110,260,0.423,false
203,19:25:10.965,Quaker Bot Long Strafes,MGV2,0.627s,100,60,0.6,120,200,0.6,false
204,19:25:12.062,Quaker Bot Long Strafes,MGV2,0.627s,100,90,0.9,120,200,0.6,false
205,19:25:13.429,Quaker Bot Long Strafes,MGV2,0.908s,140,100,0.714,110,280,0.393,false
206,19:25:14.490,Quaker Bot Long Strafes,MGV2,0.626s,100,80,0.8,120,200,0.6,false
207,19:25:17.034,Quaker Bot Long Strafes,MGV2,2.168s,170,110,0.647,110,340,0.324,false
208,19:25:18.469,Quaker Bot Long Strafes,MGV2,0.908s,140,110,0.786,110,280,0.393,false
209,19:25:19.881,Quaker Bot Long Strafes,MGV2,0.838s,130,110,0.846,110,260,0.423,false
210,19:25:21.915,Quaker Bot Long Strafes,MGV2,0.977s,150,110,0.733,110,300,0.367,false
211,19:25:25.492,Quaker Bot Long Strafes,MGV2,2.694s,200,80,0.4,110,400,0.275,false
212,19:25:26.647,Quaker Bot Long Strafes,MGV2,0.558s,90,60,0.667,110,180,0.611,false
213,19:25:28.097,Quaker Bot Long Strafes,MGV2,0.768s,120,60,0.5,120,240,0.5,false
214,19:25:32.210,Quaker Bot Long Strafes,MGV2,3.885s,260,60,0.231,120,520,0.231,false
215,19:25:35.321,Quaker Bot Long Strafes,MGV2,1.721s,190,90,0.474,110,380,0.289,false
216,19:25:36.966,Quaker Bot Long Strafes,MGV2,0.486s,80,60,0.75,120,160,0.75,false
217,19:25:39.644,Quaker Bot Long Strafes,MGV2,1.802s,160,70,0.438,110,320,0.344,false
218,19:25:41.821,Quaker Bot Long Strafes,MGV2,0.696s,110,70,0.636,120,220,0.545,false
219,19:25:44.285,Quaker Bot Long Strafes,MGV2,1.576s,170,80,0.471,110,340,0.324,false
220,19:25:45.976,Quaker Bot Long Strafes,MGV2,1.048s,160,90,0.562,110,320,0.344,false
221,19:25:47.958,Quaker Bot Long Strafes,MGV2,1.494s,140,110,0.786,110,280,0.393,false
222,19:25:50.210,Quaker Bot Long Strafes,MGV2,0.698s,110,60,0.545,120,220,0.545,false
223,19:25:52.122,Quaker Bot Long Strafes,MGV2,0.697s,110,110,1,110,220,0.5,false
224,19:25:53.613,Quaker Bot Long Strafes,MGV2,0.839s,130,70,0.538,110,260,0.423,false
225,19:25:54.791,Quaker Bot Long Strafes,MGV2,0.489s,80,70,0.875,110,160,0.688,false
226,19:25:56.635,Quaker Bot Long Strafes,MGV2,0.978s,150,80,0.533,110,300,0.367,false
227,19:25:59.256,Quaker Bot Long Strafes,MGV2,1.591s,160,90,0.562,110,320,0.344,false
228,19:26:02.646,Quaker Bot Long Strafes,MGV2,2.328s,180,100,0.556,120,360,0.333,false
229,19:26:04.249,Quaker Bot Long Strafes,MGV2,0.907s,140,70,0.5,120,280,0.429,false
230,19:26:05.736,Quaker Bot Long Strafes,MGV2,0.906s,140,60,0.429,120,280,0.429,false
231,19:26:09.143,Quaker Bot Long Strafes,MGV2,2.664s,220,100,0.455,110,440,0.25,false
232,19:26:12.178,Quaker Bot Long Strafes,MGV2,2.373s,170,110,0.647,120,340,0.353,false
233,19:26:13.870,Quaker Bot Long Strafes,MGV2,1.477s,100,100,1,110,200,0.55,false
234,19:26:15.602,Quaker Bot Long Strafes,MGV2,1.048s,160,120,0.75,130,320,0.406,false
235,19:26:18.721,Quaker Bot Long Strafes,MGV2,2.664s,240,90,0.375,90,480,0.188,false
236,19:26:20.260,Quaker Bot Long Strafes,MGV2,0.626s,100,60,0.6,120,200,0.6,false
237,19:26:23.689,Quaker Bot Long Strafes,MGV2,2.683s,250,100,0.4,120,500,0.24,false
238,19:26:27.998,Quaker Bot Long Strafes,MGV2,3.693s,280,110,0.393,110,560,0.196,false
239,19:26:29.967,Quaker Bot Long Strafes,MGV2,1.481s,170,110,0.647,110,340,0.324,false
240,19:26:33.336,Quaker Bot Long Strafes,MGV2,2.726s,200,70,0.35,110,400,0.275,false
241,19:26:34.087,Quaker Bot Long Strafes,MGV2,0.349s,60,60,1,120,120,1,false
242,19:26:35.377,Quaker Bot Long Strafes,MGV2,0.84s,130,60,0.462,120,260,0.462,false
243,19:26:38.684,Quaker Bot Long Strafes,MGV2,2.41s,210,110,0.524,170,420,0.405,false
244,19:26:39.619,Quaker Bot Long Strafes,MGV2,0.419s,70,40,0.571,70,140,0.5,false
245,19:26:42.344,Quaker Bot Long Strafes,MGV2,2.266s,190,60,0.316,90,380,0.237,false
246,19:26:46.218,Quaker Bot Long Strafes,MGV2,3.145s,280,110,0.393,110,560,0.196,false
247,19:26:49.345,Quaker Bot Long Strafes,MGV2,2.409s,210,110,0.524,110,420,0.262,false
248,19:26:53.237,Quaker Bot Long Strafes,MGV2,3.316s,340,190,0.559,190,680,0.279,false
249,19:26:54.767,Quaker Bot Long Strafes,MGV2,0.697s,110,80,0.727,100,220,0.455,false
250,19:26:58.344,Quaker Bot Long Strafes,MGV2,2.41s,210,110,0.524,140,420,0.333,false
251,19:26:59.169,Quaker Bot Long Strafes,MGV2,0.35s,60,60,1,100,120,0.833,false
252,19:27:00.958,Quaker Bot Long Strafes,MGV2,1.581s,170,100,0.588,130,340,0.382,false
253,19:27:02.242,Quaker Bot Long Strafes,MGV2,0.628s,100,30,0.3,40,200,0.2,false
254,19:27:04.042,Quaker Bot Long Strafes,MGV2,1.145s,150,70,0.467,80,300,0.267,false
255,19:27:05.529,Quaker Bot Long Strafes,MGV2,0.909s,140,100,0.714,120,280,0.429,false
256,19:27:08.656,Quaker Bot Long Strafes,MGV2,2.559s,200,90,0.45,110,400,0.275,false
257,19:27:10.045,Quaker Bot Long Strafes,MGV2,0.628s,100,70,0.7,110,200,0.55,false
258,19:27:13.126,Quaker Bot Long Strafes,MGV2,2.34s,200,70,0.35,120,400,0.3,false
259,19:27:14.478,Quaker Bot Long Strafes,MGV2,0.42s,70,60,0.857,120,140,0.857,false
260,19:27:15.898,Quaker Bot Long Strafes,MGV2,0.558s,90,60,0.667,120,180,0.667,false
