Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,05:57:18.628,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.659s,373,220,0.59,202,340,0.594,false
2,05:57:20.778,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.934s,307,227,0.739,207,280,0.739,false
3,05:57:22.602,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.239s,692,390,0.564,356,630,0.565,false
4,05:57:23.133,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.283s,160,49,0.306,47,146,0.322,false
5,05:57:24.486,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.098s,483,225,0.466,204,440,0.464,false
6,05:57:26.073,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.858s,483,224,0.464,206,440,0.468,false
7,05:57:26.858,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.38s,219,218,0.995,200,200,1,false
8,05:57:28.176,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.618s,351,223,0.635,207,320,0.647,false
9,05:57:29.135,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.398s,230,220,0.957,201,210,0.957,false
10,05:57:29.948,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.564s,318,220,0.692,200,290,0.69,false
11,05:57:31.360,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.155s,351,220,0.627,201,320,0.628,false
12,05:57:32.917,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.86s,483,371,0.768,339,440,0.77,false
13,05:57:33.514,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.337s,120,76,0.633,70,110,0.636,false
14,05:57:34.438,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.712s,329,224,0.681,204,300,0.68,false
15,05:57:35.904,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.756s,428,219,0.512,204,390,0.523,false
16,05:57:36.637,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.395s,230,220,0.957,201,210,0.957,false
17,05:57:37.893,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.597s,340,226,0.665,207,310,0.668,false
18,05:57:39.060,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.518s,296,220,0.743,204,270,0.756,false
19,05:57:39.772,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.491s,226,221,0.978,202,206,0.981,false
20,05:57:40.822,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.416s,241,233,0.967,214,220,0.973,false
21,05:57:41.838,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.763s,428,209,0.488,191,390,0.49,false
22,05:57:42.858,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.6s,340,229,0.674,208,310,0.671,false
23,05:57:43.902,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.793s,274,219,0.799,202,250,0.808,false
24,05:57:45.492,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.379s,219,219,1,200,200,1,false
25,05:57:46.332,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.416s,241,224,0.929,205,220,0.932,false
26,05:57:47.391,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.7s,395,217,0.549,203,360,0.564,false
27,05:57:48.955,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.736s,417,220,0.528,205,380,0.539,false
28,05:57:50.692,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.517s,450,218,0.484,201,410,0.49,false
29,05:57:52.303,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.059s,593,227,0.383,208,540,0.385,false
30,05:57:53.696,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.134s,395,223,0.565,205,360,0.569,false
31,05:57:55.151,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.617s,351,224,0.638,206,320,0.644,false
32,05:57:56.430,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.052s,384,219,0.57,202,350,0.577,false
33,05:57:57.826,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.556s,318,223,0.701,204,290,0.703,false
34,05:57:59.493,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.796s,450,225,0.5,207,410,0.505,false
35,05:58:01.027,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.328s,472,416,0.881,382,430,0.888,false
36,05:58:01.455,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.078s,54,30,0.556,27,50,0.54,false
37,05:58:02.164,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.606s,263,219,0.833,201,240,0.837,false
38,05:58:02.946,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.516s,296,223,0.753,205,270,0.759,false
39,05:58:04.273,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.839s,472,217,0.46,201,430,0.467,false
40,05:58:06.458,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.008s,395,221,0.559,202,360,0.561,false
41,05:58:07.564,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.539s,307,222,0.723,204,280,0.729,false
42,05:58:08.353,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.457s,263,223,0.848,204,240,0.85,false
43,05:58:09.248,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.575s,329,226,0.687,207,300,0.69,false
44,05:58:10.275,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.659s,373,219,0.587,202,340,0.594,false
45,05:58:11.680,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.361s,571,226,0.396,206,520,0.396,false
46,05:58:12.611,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.681s,241,226,0.938,206,220,0.936,false
47,05:58:14.377,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.594s,483,227,0.47,207,440,0.47,false
48,05:58:15.921,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.638s,362,221,0.61,206,330,0.624,false
49,05:58:17.139,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.515s,296,226,0.764,206,270,0.763,false
50,05:58:18.518,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.819s,461,221,0.479,204,420,0.486,false
51,05:58:19.191,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.483s,272,226,0.831,207,248,0.835,false
52,05:58:20.537,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.998s,560,215,0.384,202,510,0.396,false
53,05:58:21.676,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.38s,219,219,1,200,200,1,false
54,05:58:22.492,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.399s,230,220,0.957,202,210,0.962,false
55,05:58:23.317,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.496s,285,229,0.804,208,260,0.8,false
56,05:58:24.172,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.418s,241,222,0.921,206,220,0.936,false
57,05:58:25.986,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.139s,637,220,0.345,205,580,0.353,false
58,05:58:27.641,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.679s,384,214,0.557,200,350,0.571,false
59,05:58:28.883,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.5s,285,220,0.772,201,260,0.773,false
60,05:58:29.820,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.557s,318,217,0.682,200,290,0.69,false
61,05:58:31.069,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.001s,252,219,0.869,200,230,0.87,false
62,05:58:32.953,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.448s,714,437,0.612,397,650,0.611,false
63,05:58:33.309,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0s,10,10,1,10,10,1,false
64,05:58:34.950,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.465s,406,227,0.559,208,370,0.562,false
65,05:58:35.995,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.72s,406,235,0.579,215,370,0.581,false
66,05:58:36.605,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.399s,228,214,0.939,197,208,0.947,false
67,05:58:38.287,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.72s,406,219,0.539,200,370,0.541,false
68,05:58:39.076,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.6s,263,222,0.844,203,240,0.846,false
69,05:58:40.031,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.619s,351,223,0.635,204,320,0.637,false
70,05:58:40.966,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.536s,307,225,0.733,209,280,0.746,false
71,05:58:41.640,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.421s,241,221,0.917,202,220,0.918,false
72,05:58:43.183,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.559s,318,225,0.708,206,290,0.71,false
73,05:58:44.263,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,1.054s,329,267,0.812,245,300,0.817,false
74,05:58:45.023,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.541s,307,180,0.586,165,280,0.589,false
75,05:58:46.142,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.697s,395,225,0.57,207,360,0.575,false
76,05:58:47.105,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.398s,230,230,1,210,210,1,false
77,05:58:47.952,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.599s,336,208,0.619,194,306,0.634,false
78,05:58:48.805,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.457s,263,216,0.821,200,240,0.833,false
79,05:58:50.087,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.84s,472,225,0.477,205,430,0.477,false
80,05:58:51.270,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.42s,241,229,0.95,209,220,0.95,false
81,05:58:52.309,Quaker Bot Long Strafes,Alcove_Tracking_Weapon,0.697s,395,220,0.557,203,360,0.564,false
