Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,21:56:02.839,voxTS_Visc_V_1 Bot,LG,0.189s,20,20,1,100,100,1,false
2,21:56:03.834,voxTS_Visc_V_2 Bot,LG,0.766s,47,20,0.426,100,235,0.426,false
3,21:56:04.687,voxTS_Visc_V_1 Bot,LG,0.266s,28,20,0.714,100,140,0.714,false
4,21:56:05.751,voxTS_Visc_V_1 Bot,LG,0.805s,51,20,0.392,100,255,0.392,false
5,21:56:06.403,voxTS_Visc_V_1 Bot,LG,0.198s,21,20,0.952,100,105,0.952,false
6,21:56:07.259,voxTS_Visc_V_2 Bot,LG,0.626s,45,20,0.444,100,225,0.444,false
7,21:56:07.972,voxTS_Visc_V_2 Bot,LG,0.267s,28,20,0.714,100,140,0.714,false
8,21:56:08.557,voxTS_Visc_V_3 Bot,LG,0.184s,20,20,1,100,100,1,false
9,21:56:09.190,voxTS_Visc_V_1 Bot,LG,0.387s,23,20,0.87,100,115,0.87,false
10,21:56:09.829,voxTS_Visc_V_3 Bot,LG,0.217s,23,20,0.87,100,115,0.87,false
11,21:56:10.711,voxTS_Visc_V_3 Bot,LG,0.662s,34,20,0.588,100,170,0.588,false
12,21:56:11.416,voxTS_Visc_V_2 Bot,LG,0.355s,37,20,0.541,100,185,0.541,false
13,21:56:11.994,voxTS_Visc_V_2 Bot,LG,0.184s,20,20,1,100,100,1,false
14,21:56:12.706,voxTS_Visc_V_3 Bot,LG,0.365s,38,20,0.526,100,190,0.526,false
15,21:56:13.498,voxTS_Visc_V_3 Bot,LG,0.359s,37,20,0.541,100,185,0.541,false
16,21:56:14.315,voxTS_Visc_V_4 Bot,LG,0.458s,47,20,0.426,100,235,0.426,false
17,21:56:15.184,voxTS_Visc_V_4 Bot,LG,0.488s,50,20,0.4,100,250,0.4,false
18,21:56:16.040,voxTS_Visc_V_4 Bot,LG,0.519s,53,20,0.377,100,265,0.377,false
19,21:56:16.612,voxTS_Visc_V_4 Bot,LG,0.188s,20,20,1,100,100,1,false
20,21:56:17.386,voxTS_Visc_V_5 Bot,LG,0.4s,41,20,0.488,100,205,0.488,false
21,21:56:18.172,voxTS_Visc_V_4 Bot,LG,0.389s,40,20,0.5,100,200,0.5,false
22,21:56:18.980,voxTS_Visc_V_5 Bot,LG,0.518s,53,20,0.377,100,265,0.377,false
23,21:56:19.644,voxTS_Visc_V_5 Bot,LG,0.316s,33,20,0.606,100,165,0.606,false
24,21:56:20.253,voxTS_Visc_V_5 Bot,LG,0.258s,27,20,0.741,100,135,0.741,false
25,21:56:21.340,voxTS_Visc_V_6 Bot,LG,0.779s,79,20,0.253,100,395,0.253,false
26,21:56:22.330,voxTS_Visc_V_6 Bot,LG,0.696s,71,20,0.282,100,355,0.282,false
27,21:56:22.892,voxTS_Visc_V_7 Bot,LG,0.186s,20,20,1,100,100,1,false
28,21:56:23.764,voxTS_Visc_V_5 Bot,LG,0.42s,43,20,0.465,100,215,0.465,false
29,21:56:24.581,voxTS_Visc_V_6 Bot,LG,0.333s,29,20,0.69,100,145,0.69,false
30,21:56:25.444,voxTS_Visc_V_6 Bot,LG,0.629s,46,20,0.435,100,230,0.435,false
31,21:56:26.306,voxTS_Visc_V_6 Bot,LG,0.528s,54,20,0.37,100,270,0.37,false
32,21:56:26.940,voxTS_Visc_V_7 Bot,LG,0.268s,28,20,0.714,100,140,0.714,false
33,21:56:27.637,voxTS_Visc_V_7 Bot,LG,0.346s,36,20,0.556,100,180,0.556,false
34,21:56:28.396,voxTS_Visc_V_7 Bot,LG,0.459s,47,20,0.426,100,235,0.426,false
35,21:56:29.482,voxTS_Visc_V_8 Bot,LG,0.687s,70,20,0.286,100,350,0.286,false
36,21:56:30.307,voxTS_Visc_V_8 Bot,LG,0.576s,47,20,0.426,100,235,0.426,false
37,21:56:31.077,voxTS_Visc_V_8 Bot,LG,0.375s,39,20,0.513,100,195,0.513,false
38,21:56:31.915,voxTS_Visc_V_9 Bot,LG,0.468s,48,20,0.417,100,240,0.417,false
39,21:56:32.835,voxTS_Visc_V_7 Bot,LG,0.529s,54,38,0.704,190,270,0.704,false
40,21:56:32.932,voxTS_Visc_V_9 Bot,LG,0.008s,2,2,1,10,10,1,false
41,21:56:33.760,voxTS_Visc_V_10 Bot,LG,0.631s,37,20,0.541,100,185,0.541,false
42,21:56:34.603,voxTS_Visc_V_10 Bot,LG,0.488s,50,20,0.4,100,250,0.4,false
43,21:56:35.155,voxTS_Visc_V_11 Bot,LG,0.186s,20,20,1,100,100,1,false
44,21:56:35.934,voxTS_Visc_V_9 Bot,LG,0.34s,35,20,0.571,100,175,0.571,false
45,21:56:36.843,voxTS_Visc_V_11 Bot,LG,0.508s,52,20,0.385,100,260,0.385,false
46,21:56:37.419,voxTS_Visc_V_10 Bot,LG,0.19s,20,20,1,100,100,1,false
47,21:56:38.612,voxTS_Visc_V_8 Bot,LG,0.696s,71,20,0.282,100,355,0.282,false
48,21:56:39.414,voxTS_Visc_V_11 Bot,LG,0.338s,35,20,0.571,100,175,0.571,false
49,21:56:40.239,voxTS_Visc_V_12 Bot,LG,0.358s,37,20,0.541,100,185,0.541,false
50,21:56:40.945,voxTS_Visc_V_9 Bot,LG,0.493s,36,20,0.556,100,180,0.556,false
51,21:56:42.223,voxTS_Visc_V_13 Bot,LG,0.847s,84,20,0.238,100,420,0.238,false
52,21:56:42.889,voxTS_Visc_V_14 Bot,LG,0.187s,20,20,1,100,100,1,false
53,21:56:43.752,voxTS_Visc_V_10 Bot,LG,0.475s,49,20,0.408,100,245,0.408,false
54,21:56:44.734,voxTS_Visc_V_8 Bot,LG,0.445s,46,20,0.435,100,230,0.435,false
55,21:56:45.301,voxTS_Visc_V_12 Bot,LG,0.186s,20,20,1,100,100,1,false
56,21:56:46.061,voxTS_Visc_V_11 Bot,LG,0.328s,34,20,0.588,100,170,0.588,false
57,21:56:46.980,voxTS_Visc_V_9 Bot,LG,0.682s,50,20,0.4,100,250,0.4,false
58,21:56:47.674,voxTS_Visc_V_12 Bot,LG,0.376s,39,20,0.513,100,195,0.513,false
59,21:56:48.343,voxTS_Visc_V_15 Bot,LG,0.237s,25,20,0.8,100,125,0.8,false
60,21:56:48.932,voxTS_Visc_V_13 Bot,LG,0.419s,31,20,0.645,100,155,0.645,false
61,21:56:49.451,voxTS_Visc_V_16 Bot,LG,0.184s,20,20,1,100,100,1,false
62,21:56:50.048,voxTS_Visc_V_13 Bot,LG,0.194s,21,20,0.952,100,105,0.952,false
63,21:56:50.845,voxTS_Visc_V_17 Bot,LG,0.6s,41,20,0.488,100,205,0.488,false
64,21:56:51.892,voxTS_Visc_V_14 Bot,LG,0.686s,70,20,0.286,100,350,0.286,false
65,21:56:53.323,voxTS_Visc_V_18 Bot,LG,1.017s,103,20,0.194,100,515,0.194,false
66,21:56:54.520,voxTS_Visc_V_14 Bot,LG,0.826s,84,20,0.238,100,420,0.238,false
67,21:56:55.722,voxTS_Visc_V_15 Bot,LG,0.759s,77,20,0.26,100,385,0.26,false
68,21:56:56.803,voxTS_Visc_V_15 Bot,LG,0.698s,71,20,0.282,100,355,0.282,false
69,21:56:57.419,voxTS_Visc_V_12 Bot,LG,0.216s,23,20,0.87,100,115,0.87,false
70,21:56:58.517,voxTS_Visc_V_10 Bot,LG,0.845s,70,20,0.286,100,350,0.286,false
71,21:56:59.135,voxTS_Visc_V_13 Bot,LG,0.188s,20,20,1,100,100,1,false
72,21:56:59.685,voxTS_Visc_V_19 Bot,LG,0.189s,20,20,1,100,100,1,false
73,21:57:00.498,voxTS_Visc_V_11 Bot,LG,0.436s,45,20,0.444,100,225,0.444,false
74,21:57:01.261,voxTS_Visc_V_14 Bot,LG,0.359s,37,20,0.541,100,185,0.541,false

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale
LG,3042,1480,7400.0,15210.0,

Kills:,74
Deaths:,0
Fight Time:,32.257999
Avg TTK:,0
Damage Done:,7400.0
Damage Taken:,0.0
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
Score:,74.0
Scenario:,voxTS Viscose Varied
Hash:,1918d44d4f05569f3fc3259451992a26
Game Version:,2.0.5.3
Challenge Start:,21:56:01.291
Pause Count:,1
Pause Duration:,12

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,Call of Duty
Horiz Sens:,7.5
Vert Sens:,7.5
FOV:,100.0
Hide Gun:,false
Crosshair:,plus.png
Crosshair Scale:,1.0
Crosshair Color:,FFFF00
Resolution,1920x1080
Avg FPS,241.66037
Resolution Scale,100.0
