Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated
1,18:27:59.024,Quaker Bot Long Strafes,LG,0.399s,41,20,0.488,100,205,0.488,false
2,18:27:59.620,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
3,18:28:00.456,Quaker Bot Long Strafes,LG,0.5s,51,20,0.392,100,255,0.392,false
4,18:28:01.450,Quaker Bot Long Strafes,LG,0.537s,55,20,0.364,100,275,0.364,false
5,18:28:02.474,Quaker Bot Long Strafes,LG,0.307s,32,20,0.625,100,160,0.625,false
6,18:28:03.026,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
7,18:28:03.654,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
8,18:28:04.158,Quaker Bot Long Strafes,LG,0.19s,20,20,1,100,100,1,false
9,18:28:04.979,Quaker Bot Long Strafes,LG,0.439s,45,20,0.444,100,225,0.444,false
10,18:28:06.874,Quaker Bot Long Strafes,LG,1.02s,86,20,0.233,100,430,0.233,false
11,18:28:08.101,Quaker Bot Long Strafes,LG,0.777s,79,20,0.253,100,395,0.253,false
12,18:28:08.843,Quaker Bot Long Strafes,LG,0.449s,46,20,0.435,100,230,0.435,false
13,18:28:09.313,Quaker Bot Long Strafes,LG,0.188s,20,20,1,100,100,1,false
14,18:28:10.232,Quaker Bot Long Strafes,LG,0.357s,37,20,0.541,100,185,0.541,false
15,18:28:11.104,Quaker Bot Long Strafes,LG,0.388s,40,20,0.5,100,200,0.5,false
16,18:28:11.793,Quaker Bot Long Strafes,LG,0.42s,43,20,0.465,100,215,0.465,false
17,18:28:12.533,Quaker Bot Long Strafes,LG,0.289s,30,20,0.667,100,150,0.667,false
18,18:28:13.252,Quaker Bot Long Strafes,LG,0.398s,41,20,0.488,100,205,0.488,false
19,18:28:13.805,Quaker Bot Long Strafes,LG,0.267s,28,20,0.714,100,140,0.714,false
20,18:28:14.812,Quaker Bot Long Strafes,LG,0.635s,57,20,0.351,100,285,0.351,false
21,18:28:15.433,Quaker Bot Long Strafes,LG,0.367s,38,20,0.526,100,190,0.526,false
22,18:28:16.419,Quaker Bot Long Strafes,LG,0.758s,77,20,0.26,100,385,0.26,false
23,18:28:16.977,Quaker Bot Long Strafes,LG,0.217s,23,20,0.87,100,115,0.87,false
24,18:28:17.733,Quaker Bot Long Strafes,LG,0.429s,44,20,0.455,100,220,0.455,false
25,18:28:18.468,Quaker Bot Long Strafes,LG,0.285s,30,20,0.667,100,150,0.667,false
26,18:28:19.131,Quaker Bot Long Strafes,LG,0.432s,27,20,0.741,100,135,0.741,false
27,18:28:20.483,Quaker Bot Long Strafes,LG,0.997s,86,20,0.233,100,430,0.233,false
28,18:28:21.227,Quaker Bot Long Strafes,LG,0.449s,46,20,0.435,100,230,0.435,false
29,18:28:22.136,Quaker Bot Long Strafes,LG,0.468s,48,20,0.417,100,240,0.417,false
30,18:28:23.228,Quaker Bot Long Strafes,LG,0.358s,37,20,0.541,100,185,0.541,false
31,18:28:23.594,Quaker Bot Long Strafes,LG,0.19s,20,20,1,100,100,1,false
32,18:28:24.263,Quaker Bot Long Strafes,LG,0.326s,34,20,0.588,100,170,0.588,false
33,18:28:25.164,Quaker Bot Long Strafes,LG,0.409s,42,20,0.476,100,210,0.476,false
34,18:28:25.695,Quaker Bot Long Strafes,LG,0.189s,20,20,1,100,100,1,false
35,18:28:26.676,Quaker Bot Long Strafes,LG,0.328s,34,20,0.588,100,170,0.588,false
36,18:28:27.455,Quaker Bot Long Strafes,LG,0.489s,50,20,0.4,100,250,0.4,false
37,18:28:28.088,Quaker Bot Long Strafes,LG,0.296s,31,20,0.645,100,155,0.645,false
38,18:28:29.151,Quaker Bot Long Strafes,LG,0.686s,70,20,0.286,100,350,0.286,false
39,18:28:30.127,Quaker Bot Long Strafes,LG,0.777s,59,20,0.339,100,295,0.339,false
40,18:28:30.940,Quaker Bot Long Strafes,LG,0.578s,59,20,0.339,100,295,0.339,false
41,18:28:31.918,Quaker Bot Long Strafes,LG,0.569s,58,20,0.345,100,290,0.345,false
42,18:28:32.703,Quaker Bot Long Strafes,LG,0.4s,41,20,0.488,100,205,0.488,false
43,18:28:33.475,Quaker Bot Long Strafes,LG,0.457s,47,20,0.426,100,235,0.426,false
44,18:28:34.191,Quaker Bot Long Strafes,LG,0.378s,39,20,0.513,100,195,0.513,false
45,18:28:34.936,Quaker Bot Long Strafes,LG,0.498s,51,20,0.392,100,255,0.392,false
46,18:28:35.534,Quaker Bot Long Strafes,LG,0.197s,21,20,0.952,100,105,0.952,false
47,18:28:36.458,Quaker Bot Long Strafes,LG,0.529s,54,20,0.37,100,270,0.37,false
48,18:28:37.281,Quaker Bot Long Strafes,LG,0.409s,42,20,0.476,100,210,0.476,false
49,18:28:38.164,Quaker Bot Long Strafes,LG,0.487s,50,20,0.4,100,250,0.4,false
50,18:28:39.122,Quaker Bot Long Strafes,LG,0.556s,57,20,0.351,100,285,0.351,false
51,18:28:39.581,Quaker Bot Long Strafes,LG,0.187s,20,20,1,100,100,1,false
52,18:28:40.313,Quaker Bot Long Strafes,LG,0.428s,44,20,0.455,100,220,0.455,false
53,18:28:41.090,Quaker Bot Long Strafes,LG,0.308s,32,20,0.625,100,160,0.625,false
54,18:28:42.292,Quaker Bot Long Strafes,LG,0.609s,62,24,0.387,120,310,0.387,false
55,18:28:42.998,Quaker Bot Long Strafes,LG,0.478s,49,16,0.327,80,245,0.327,false
56,18:28:44.181,Quaker Bot Long Strafes,LG,0.298s,31,20,0.645,100,155,0.645,false
57,18:28:45.467,Quaker Bot Long Strafes,LG,0.909s,92,20,0.217,100,460,0.217,false
58,18:28:45.997,Quaker Bot Long Strafes,LG,0.186s,20,20,1,100,100,1,false
59,18:28:46.810,Quaker Bot Long Strafes,LG,0.395s,41,20,0.488,100,205,0.488,false
60,18:28:47.673,Quaker Bot Long Strafes,LG,0.406s,42,20,0.476,100,210,0.476,false
61,18:28:48.324,Quaker Bot Long Strafes,LG,0.247s,26,20,0.769,100,130,0.769,false
62,18:28:49.270,Quaker Bot Long Strafes,LG,0.576s,59,20,0.339,100,295,0.339,false
63,18:28:49.909,Quaker Bot Long Strafes,LG,0.317s,33,20,0.606,100,165,0.606,false
64,18:28:50.781,Quaker Bot Long Strafes,LG,0.496s,51,20,0.392,100,255,0.392,false
65,18:28:51.543,Quaker Bot Long Strafes,LG,0.467s,48,20,0.417,100,240,0.417,false
66,18:28:52.300,Quaker Bot Long Strafes,LG,0.335s,35,20,0.571,100,175,0.571,false
